time,distance_cmd,distance_odom,need_dist,error_cmd_vs_odom,error_odom_vs_need
1763546401.829779,0.27322685718536377,0.0,0.11257549375295639,0.27322685718536377,-0.11257549375295639
1763546402.3632603,0.26674067974090576,0.0,0.21555595099925995,0.26674067974090576,-0.21555595099925995
1763546403.4004004,0.47156327223792993,0.0,-0.001789526198990643,0.47156327223792993,0.001789526198990643
1763546403.6747725,0.13718605041503906,0.0,-0.04844115674495697,0.13718605041503906,0.04844115674495697
1763546404.5424457,0.43383657932281494,0.0,0.16093720495700836,0.43383657932281494,-0.16093720495700836
1763546405.2626202,0.3600872755050659,0.0,0.2609025835990906,0.3600872755050659,-0.2609025835990906
1763546405.7570047,0.24719226360321045,0.0,0.2531815767288208,0.24719226360321045,-0.2531815767288208
1763546406.034422,0.13870859146118164,0.0,0.21000465750694275,0.13870859146118164,-0.21000465750694275
1763546406.324658,0.14511799812316895,0.0,0.2255362570285797,0.14511799812316895,-0.2255362570285797
1763546406.5951006,0.13522136211395264,0.0,0.2564915716648102,0.13522136211395264,-0.2564915716648102
1763546406.87045,0.13767468929290771,0.0,0.31034353375434875,0.13767468929290771,-0.31034353375434875
1763546407.1430168,0.13628339767456055,0.0,0.322380930185318,0.13628339767456055,-0.322380930185318
1763546407.4102306,0.1336069107055664,0.0,0.33658382296562195,0.1336069107055664,-0.33658382296562195
1763546407.6779885,0.1338789463043213,0.0,0.33658382296562195,0.1338789463043213,-0.33658382296562195
1763546407.9451535,0.1335824728012085,0.0,0.35294172167778015,0.1335824728012085,-0.35294172167778015
1763546408.2134516,0.13414907455444336,0.0,0.3485826253890991,0.13414907455444336,-0.3485826253890991
1763546408.4978366,0.14219248294830322,0.0,0.3757908046245575,0.14219248294830322,-0.3757908046245575
1763546408.7677784,0.13497090339660645,0.0,0.45586276054382324,0.13497090339660645,-0.45586276054382324
1763546409.0331597,0.1326906681060791,0.0,0.3964136838912964,0.1326906681060791,-0.3964136838912964
1763546409.3331192,0.14997971057891846,0.0,0.35620954632759094,0.14997971057891846,-0.35620954632759094
1763546409.6011026,0.13399171829223633,0.0,0.3453119993209839,0.13399171829223633,-0.3453119993209839
1763546409.8626194,0.1307584047317505,0.0,0.3070574402809143,0.1307584047317505,-0.3070574402809143
1763546410.1369736,0.13717710971832275,0.0,0.31472280621528625,0.13717710971832275,-0.31472280621528625
1763546410.416905,0.13996565341949463,0.0,0.28511446714401245,0.13996565341949463,-0.28511446714401245
1763546410.6858666,0.13448083400726318,0.0,0.24987012147903442,0.13448083400726318,-0.24987012147903442
1763546410.9508455,0.13248944282531738,0.0,0.2675137519836426,0.13248944282531738,-0.2675137519836426
1763546411.2266843,0.13791942596435547,0.0,0.2642088532447815,0.13791942596435547,-0.2642088532447815
1763546411.4957426,0.13452911376953125,0.0,0.27411898970603943,0.13452911376953125,-0.27411898970603943
